Size C S Time
2200 41459 12658 0.012146902999999654
2200 40185 12659 0.011670396000000416
2200 41099 12874 0.011691655999999995
2200 42211 13307 0.01176679699999994
2200 44591 13647 0.012535440999999814
2200 41948 12904 0.011871994999999913
2200 46498 13479 0.013319111999999578
2300 48220 14501 0.01403570499999951
2300 44848 14913 0.013707282000000376
2300 40704 12960 0.012753899999999874
2300 44567 14132 0.013108714999999549
2300 49893 16085 0.014496817999999578
2300 45706 13839 0.013484057000000327
2300 42837 14558 0.0132622970000007
2300 44205 13855 0.01435239899999985
2300 45509 13654 0.014361196000000298
2300 46662 14859 0.015334370999999791
2400 45531 14245 0.014816810000000125
2400 45961 13904 0.013144636999999904
2400 45390 13680 0.012910048000000174
2400 51674 16212 0.014521375999999364
2400 48122 14912 0.014125875000000399
2400 45612 15087 0.013420643999999982
2400 46394 14420 0.013267061999999719
2400 49425 14760 0.013697018999999422
2400 47005 14117 0.013559930999999636
2400 51728 16343 0.014489853000000608
2500 51772 16045 0.014558763000000141
2500 53716 16146 0.01503050500000036
2500 48269 14839 0.013645701999999815
2500 48569 14864 0.01403790399999938
2500 50786 17611 0.014673124999999843
2500 48032 14524 0.013757864000000453
2500 51776 16768 0.014886087000000714
2500 50753 16158 0.014182321999999914
2500 46953 14843 0.01388395599999992
2500 47861 14895 0.014071259999999697
2600 55868 16555 0.015622107999999635
2600 57010 17159 0.016177422000000163
2600 51482 16190 0.01493740299999935
2600 56073 18266 0.01632074100000036
2600 48147 15961 0.013956897999999995
2600 51962 15278 0.014625474999999888
2600 54263 15852 0.015351597999999633
2600 50784 15257 0.01459651800000028
2600 53858 15989 0.015368825000000363
2600 52018 18261 0.015364427999999819
2700 55598 16864 0.01573243800000057
2700 57354 16972 0.01612830500000051
2700 55788 16574 0.015927439000000376
2700 52768 15896 0.015209012999999771
2700 57178 19396 0.016130137999999405
2700 52184 15954 0.014680455999999786
2700 55767 16759 0.015852664000000516
2700 55757 19062 0.016120240999999425
2700 53779 16982 0.015232471000000025
2700 58942 20784 0.01715609400000062
2800 57477 17952 0.016951562999999226
2800 52861 16464 0.015343901000000493
2800 60159 18066 0.016878619999999955
2800 63612 18811 0.018287615999999396
2800 56991 17422 0.01658905100000041
2800 61984 19725 0.017343032000000314
2800 58087 17791 0.01647468899999982
2800 51781 16043 0.015233570999999557
